Stratum,inhibition
Blank,0
Marinas,0
Marinas,0
Marinas,0
Marinas,8
Marinas,0
Marinas,0
Ports,0
Ports,0
Ports,0
Ports,0
Ports,0
Ports,0
Estuaries,0
Blank,22
Estuaries,14.5
Estuaries,20
Estuaries,10.5
Estuaries,0
Estuaries,1
Estuaries,4.5
Estuaries,0
Estuaries,6
Estuaries,0
Estuaries,5.5
Mid Shelf,3.5
Mid Shelf,0
Mid Shelf,0
Mid Shelf,4.5
Mid Shelf,12.5
Mid Shelf,3.75
Estuaries,0
Estuaries,5.25
Marinas,3
Marinas,8
Marinas,8.5
Marinas,2
Marinas,0
Marinas,0
Ports,5
Ports,3
Blank,0.5
Ports,0
Ports,0
Estuaries,2
Estuaries,4.5
Estuaries,11.5
Estuaries,0
Estuaries,5
Mid Shelf,6.5
Mid Shelf,6.5
Mid Shelf,2.5
Mid Shelf,1.5
Mid Shelf,4.5
Mid Shelf,2
Blank,14.5
Mid Shelf,7.5
Mid Shelf,0.5
Mid Shelf,0
Mid Shelf,0
Mid Shelf,5.5
Mid Shelf,4
Mid Shelf,0.5
Mid Shelf,0.5
Mid Shelf,8
Channel Islands,4
Channel Islands,7.5
Channel Islands,8.5
Channel Islands,5.5
Blank,11.25
Channel Islands,11
Channel Islands,22
Channel Islands,5
Channel Islands,6.5
Estuaries,2.5
Mid Shelf,2
Channel Islands,3.5
